Kanton,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
JU,5.754065093,6.335607654,4.960467341,5.407282468,5.157147027,4.54599266,4.941078222,5.107895862,4.843533771,4.439196134,4.755420098,3.648628582,3.802916963,3.347107438,3.44237627,3.452383356,3.190810466,3.169919655,3.039752113,2.855281312,2.768778724,2.12294628,2.962445029,2.993197279,2.390765223
LU,6.28869969,5.912166882,5.780378432,5.784437237,5.437240364,5.902845978,5.485524591,5.735666987,5.690098175,6.108206506,5.636056215,5.827202584,5.207256734,5.241158253,4.782355759,4.618580487,4.657518507,4.705987809,4.335483258,4.266241199,3.869742443,3.55651998,3.631761009,3.561145894,2.943343225
NE,6.115780649,5.566779865,5.753617321,5.079917045,4.79944449,4.594258189,4.768474088,4.712247909,4.967685926,4.98141476,4.78782098,4.155034733,4.087280859,3.710473405,3.914020482,3.499945313,3.389738583,3.244972989,2.718811162,2.691042301,2.519556354,2.350057912,2.387374558,2.331715465,2.453646528
NW,4.944316436,3.848500493,5.206173693,4.861361181,5.401013287,3.453584654,3.99653908,5.034488226,3.943187474,3.289108984,3.750315531,4.056217755,3.885381253,2.938939216,3.267860247,2.953658123,3.13405675,2.85232724,2.506345178,2.551258517,2.416049911,2.451713209,2.355573877,2.987585567,2.595624519
OW,6.432881703,6.135995984,5.414478315,4.905286229,5.472892081,4.496491748,5.729693293,3.714914695,4.088233973,4.885070005,3.477228395,4.349446999,3.971828679,3.823855927,4.0836328,3.895690889,3.491839297,4.14109852,3.204894748,2.945455836,2.758810952,1.965768514,2.096087304,2.156017248,3.249469146
SH,4.019138756,3.581084286,4.617367866,4.164064127,3.8767507,3.692762186,3.686797753,3.278056305,4.201944183,4.018603892,4.039399065,3.97893505,3.539346375,3.749881032,3.980814416,3.791631735,3.077841407,3.137581038,2.445347405,2.630260521,2.940610177,2.542867943,2.742722531,2.619493675,2.775102434
SZ,5.899454017,5.148465785,5.539981311,6.031098254,5.015285884,5.00793641,4.875536069,4.873710834,4.358396917,4.280692674,4.333524774,4.673469388,4.019020712,3.586365946,3.266841558,3.400843561,3.394703891,3.1857921,3.168954865,2.825321079,2.639650058,2.40564833,2.185342881,2.352216846,2.288629288
SO,5.733122047,5.871285109,6.031023048,5.7739975,5.110732538,5.533960934,5.121838706,5.634211672,5.856788346,5.533680962,5.595089027,5.478943492,5.594149477,5.025765734,5.112076919,5.510996267,4.781327895,4.758517916,4.659488338,4.257457304,3.583000011,3.223056289,3.000358405,3.090839418,3.132651948
SG,5.841538242,5.820737147,5.788581604,5.276130003,4.827752822,4.887758844,5.015767779,5.473998507,5.231323764,5.217548949,4.560677142,4.653417353,4.362453702,4.17518258,3.932300051,4.559883434,4.128643229,4.187088291,3.698082555,3.719692086,3.502829765,2.782652151,2.715758946,2.511413008,2.380525346
TG,5.333959018,5.656559463,4.887092588,4.426699071,4.050913588,4.367634849,4.501572467,4.339129915,4.331044098,4.345287059,4.57682751,4.54728153,3.943841585,3.995163749,3.535110331,3.772908946,3.675182816,3.252024219,3.404219987,3.349308765,2.999771121,2.898040373,2.934866399,2.705429408,2.505367063
TI,8.968632575,8.578968333,8.56803859,8.11960733,7.668403467,7.443509489,6.929180293,7.034155945,7.093465336,6.784316817,6.579538126,6.190907283,5.837420856,5.343415546,5.83730686,5.130540376,4.707910865,4.268746047,4.337724385,4.011764999,3.66356601,3.272536422,2.929476807,2.997079174,2.370995261
UR,7.549295775,7.872706104,8.827989601,9.742150686,9.770453208,8.350202429,8.004402421,7.357449418,7.494900621,7.428040854,6.580141586,6.984296454,5.119604555,5.212014134,4.728132388,5.702995195,5.135533426,6.332072585,4.52057067,4.261882534,4.194531281,4.785247432,3.612744533,4.415594218,3.797751136
VS,5.359538255,5.572355265,4.917650296,4.63941743,4.041930738,4.118879979,4.095156343,3.798947984,4.190299924,3.837907809,4.040851483,3.653700272,3.387767235,2.868042342,2.780451767,2.799397053,2.567645065,2.530835344,2.426326049,2.254031325,2.146528618,1.892802031,1.976925917,1.841157341,1.67283726
VD,7.765656704,7.460370342,7.485218795,7.176980703,6.375321616,6.165388747,6.292952257,6.464742905,6.640450289,6.052396873,5.931748565,5.566169827,5.31117672,4.736157229,4.791791688,5.109506935,4.47491485,4.497774354,4.276899561,3.799515467,3.615952149,3.603822236,3.19799971,2.7318619,3.242453917
ZG,5.899194866,5.795692492,4.535849607,5.765989533,4.847467498,5.059973124,5.102935783,4.686638486,4.577837965,4.536883445,4.310582273,4.051798406,4.561923148,4.047750607,4.352192836,4.228649098,4.172598302,4.235839844,3.971037582,3.626913081,3.127802691,2.779966728,2.937138844,2.76300267,2.709235573
ZH,4.839004057,4.613682061,4.829980079,4.643423926,4.329786919,4.5321458,4.422106248,4.574953003,4.578261484,4.49540411,4.305885099,4.588348438,4.318827628,3.855322657,3.88081157,3.860092492,3.694549146,3.858897181,3.570999809,3.478373341,3.325028302,3.165602905,3.359786316,3.4600917,3.633380216
