"Objektart","Strassenart","Unfallschwere","Unfalltyp","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Fahrrad","Autobahn","Unfall mit leicht Verletzten","Schleuder-, Selbstunfall",0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0
"Fahrrad","Autobahn","Unfall mit leicht Verletzten","Tierunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit leicht Verletzten","Ueberholunfall",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit schwer Verletzten","Auffahrunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit schwer Verletzten","Beim Kreuzen (in Längsrichtung)",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit schwer Verletzten","Beim Queren (ohne Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit schwer Verletzten","Beim Richtungswechsel (mit Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Fahrrad","Autobahn","Unfall mit schwer Verletzten","Beim Vorbeifahren, Fahrstreifenwechsel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit schwer Verletzten","Fussgängerunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit schwer Verletzten","Schleuder-, Selbstunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2
"Fahrrad","Autobahn","Unfall mit schwer Verletzten","Tierunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit schwer Verletzten","Ueberholunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit Getöteten","Auffahrunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit Getöteten","Beim Kreuzen (in Längsrichtung)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit Getöteten","Beim Queren (ohne Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit Getöteten","Beim Richtungswechsel (mit Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit Getöteten","Beim Vorbeifahren, Fahrstreifenwechsel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit Getöteten","Fussgängerunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit Getöteten","Schleuder-, Selbstunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit Getöteten","Tierunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit Getöteten","Ueberholunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit leicht Verletzten","Auffahrunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit leicht Verletzten","Beim Kreuzen (in Längsrichtung)",0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit leicht Verletzten","Beim Queren (ohne Abbiegen)",0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit leicht Verletzten","Beim Richtungswechsel (mit Abbiegen)",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit leicht Verletzten","Beim Vorbeifahren, Fahrstreifenwechsel",0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit leicht Verletzten","Fussgängerunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit leicht Verletzten","Schleuder-, Selbstunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0
"Fahrrad","Autostrasse","Unfall mit leicht Verletzten","Tierunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit leicht Verletzten","Ueberholunfall",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit schwer Verletzten","Auffahrunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit schwer Verletzten","Beim Kreuzen (in Längsrichtung)",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit schwer Verletzten","Beim Queren (ohne Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit schwer Verletzten","Beim Richtungswechsel (mit Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit schwer Verletzten","Beim Vorbeifahren, Fahrstreifenwechsel",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit schwer Verletzten","Fussgängerunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit schwer Verletzten","Schleuder-, Selbstunfall",0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit schwer Verletzten","Tierunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autostrasse","Unfall mit schwer Verletzten","Ueberholunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Fahrrad","Hauptstrasse","Unfall mit Getöteten","Auffahrunfall",0,1,2,1,0,4,3,3,0,0,0,0,0,1,0,1,0,1,2,0,0,1,2,1,0
"Fahrrad","Hauptstrasse","Unfall mit Getöteten","Beim Kreuzen (in Längsrichtung)",0,0,1,2,1,0,0,3,0,2,0,0,2,3,1,0,1,2,0,2,1,0,0,1,0
"Fahrrad","Hauptstrasse","Unfall mit Getöteten","Beim Queren (ohne Abbiegen)",4,5,5,8,1,4,5,5,3,0,2,3,0,0,0,1,1,4,4,0,4,5,3,7,0
"Fahrrad","Hauptstrasse","Unfall mit Getöteten","Beim Richtungswechsel (mit Abbiegen)",12,11,26,8,13,9,5,6,8,14,7,8,5,4,9,3,4,9,5,6,3,4,3,5,3
"Fahrrad","Hauptstrasse","Unfall mit Getöteten","Beim Vorbeifahren, Fahrstreifenwechsel",1,1,0,0,0,0,1,2,4,0,0,0,0,2,0,0,0,0,0,3,0,0,2,3,0
"Fahrrad","Hauptstrasse","Unfall mit Getöteten","Fussgängerunfall",1,2,1,4,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,2,2,0,1
"Fahrrad","Hauptstrasse","Unfall mit Getöteten","Schleuder-, Selbstunfall",0,3,2,6,4,6,2,0,6,5,2,4,3,3,3,4,5,5,8,10,7,1,8,6,6
"Fahrrad","Hauptstrasse","Unfall mit Getöteten","Tierunfall",1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Hauptstrasse","Unfall mit Getöteten","Ueberholunfall",1,6,2,2,2,1,0,2,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"Fahrrad","Hauptstrasse","Unfall mit leicht Verletzten","Auffahrunfall",56,36,49,63,52,47,49,55,52,35,58,57,37,35,55,56,47,55,45,63,62,60,62,52,52
"Fahrrad","Hauptstrasse","Unfall mit leicht Verletzten","Beim Kreuzen (in Längsrichtung)",29,37,17,30,30,26,19,27,25,21,15,30,21,26,14,33,17,20,16,15,15,13,20,17,17
"Fahrrad","Hauptstrasse","Unfall mit leicht Verletzten","Beim Queren (ohne Abbiegen)",169,137,164,110,133,139,123,117,105,124,101,129,92,97,89,109,81,76,66,79,95,76,84,106,70
"Fahrrad","Hauptstrasse","Unfall mit leicht Verletzten","Beim Richtungswechsel (mit Abbiegen)",280,298,323,266,264,269,269,247,194,244,233,221,196,178,170,192,157,166,148,176,166,187,172,150,166
"Fahrrad","Hauptstrasse","Unfall mit leicht Verletzten","Beim Vorbeifahren, Fahrstreifenwechsel",37,45,59,37,28,45,28,46,39,25,28,26,24,35,21,25,19,28,31,54,25,34,27,24,23
"Fahrrad","Hauptstrasse","Unfall mit leicht Verletzten","Fussgängerunfall",23,30,37,25,32,33,22,21,21,16,21,14,30,25,25,17,24,30,26,35,30,26,38,43,35
"Fahrrad","Hauptstrasse","Unfall mit leicht Verletzten","Schleuder-, Selbstunfall",121,134,121,105,109,108,133,131,147,138,129,148,153,161,197,174,193,232,243,211,276,301,373,363,353
"Fahrrad","Hauptstrasse","Unfall mit leicht Verletzten","Tierunfall",1,3,3,1,1,5,0,1,4,3,4,0,2,1,3,3,3,1,0,4,2,2,5,3,2
"Fahrrad","Hauptstrasse","Unfall mit leicht Verletzten","Ueberholunfall",36,28,52,33,46,41,36,12,24,26,29,25,27,19,23,25,25,31,15,20,21,10,31,20,18
"Fahrrad","Hauptstrasse","Unfall mit schwer Verletzten","Auffahrunfall",31,18,21,23,17,23,15,24,29,14,10,31,15,18,27,24,26,24,25,23,17,24,14,19,23
"Fahrrad","Hauptstrasse","Unfall mit schwer Verletzten","Beim Kreuzen (in Längsrichtung)",21,25,2,15,18,10,11,13,8,10,9,11,13,17,9,11,7,6,5,6,5,10,8,14,10
"Fahrrad","Hauptstrasse","Unfall mit schwer Verletzten","Beim Queren (ohne Abbiegen)",69,64,73,66,56,52,64,38,41,33,34,49,30,39,31,38,44,37,25,35,36,20,36,31,24
"Fahrrad","Hauptstrasse","Unfall mit schwer Verletzten","Beim Richtungswechsel (mit Abbiegen)",162,107,120,116,111,108,85,89,92,80,71,77,75,58,66,76,72,69,61,62,58,62,64,52,61
"Fahrrad","Hauptstrasse","Unfall mit schwer Verletzten","Beim Vorbeifahren, Fahrstreifenwechsel",29,13,6,28,26,11,9,8,13,14,15,10,14,11,13,6,7,12,5,8,4,4,12,17,10
"Fahrrad","Hauptstrasse","Unfall mit schwer Verletzten","Fussgängerunfall",17,8,20,19,18,12,16,11,16,4,15,12,11,20,7,14,6,11,8,15,8,12,22,12,9
"Fahrrad","Hauptstrasse","Unfall mit schwer Verletzten","Schleuder-, Selbstunfall",75,83,116,101,86,94,115,95,94,96,97,96,93,118,72,103,99,111,163,156,157,165,177,193,216
"Fahrrad","Hauptstrasse","Unfall mit schwer Verletzten","Tierunfall",0,4,3,2,2,2,2,0,3,2,5,1,0,1,2,3,1,3,3,2,3,2,3,3,2
"Fahrrad","Hauptstrasse","Unfall mit schwer Verletzten","Ueberholunfall",18,4,24,8,14,22,15,11,9,4,3,9,9,8,16,11,10,7,8,10,5,12,9,9,12
"Fahrrad","Nebenstrasse","Unfall mit Getöteten","Auffahrunfall",0,1,0,5,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2
"Fahrrad","Nebenstrasse","Unfall mit Getöteten","Beim Kreuzen (in Längsrichtung)",1,2,2,3,1,0,3,1,0,0,2,3,1,6,3,0,0,3,4,0,0,2,0,2,3
"Fahrrad","Nebenstrasse","Unfall mit Getöteten","Beim Queren (ohne Abbiegen)",3,2,2,3,1,8,1,2,4,1,0,2,4,5,3,3,2,8,0,1,1,2,2,2,2
"Fahrrad","Nebenstrasse","Unfall mit Getöteten","Beim Richtungswechsel (mit Abbiegen)",9,8,9,6,4,5,8,2,8,6,0,6,6,0,3,2,0,1,3,5,4,0,8,2,5
"Fahrrad","Nebenstrasse","Unfall mit Getöteten","Beim Vorbeifahren, Fahrstreifenwechsel",1,0,0,0,0,1,0,1,2,0,1,1,0,1,0,0,1,0,0,0,0,1,2,0,0
"Fahrrad","Nebenstrasse","Unfall mit Getöteten","Fussgängerunfall",0,3,1,0,0,3,1,2,1,2,1,2,0,0,0,1,0,3,3,0,0,6,2,5,0
"Fahrrad","Nebenstrasse","Unfall mit Getöteten","Schleuder-, Selbstunfall",16,6,17,2,6,9,6,11,8,7,3,13,12,6,7,9,6,13,10,6,10,7,3,11,8
"Fahrrad","Nebenstrasse","Unfall mit Getöteten","Tierunfall",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Nebenstrasse","Unfall mit Getöteten","Ueberholunfall",2,0,2,1,1,3,0,0,3,0,0,4,0,0,3,0,0,0,0,1,3,0,1,0,0
"Fahrrad","Nebenstrasse","Unfall mit leicht Verletzten","Auffahrunfall",76,54,51,75,58,49,48,48,47,45,43,47,42,54,50,63,39,45,33,50,59,45,47,66,67
"Fahrrad","Nebenstrasse","Unfall mit leicht Verletzten","Beim Kreuzen (in Längsrichtung)",113,151,125,146,109,149,105,95,90,103,93,92,94,76,92,93,95,86,76,63,51,64,74,59,60
"Fahrrad","Nebenstrasse","Unfall mit leicht Verletzten","Beim Queren (ohne Abbiegen)",266,272,264,224,224,232,248,231,222,188,190,229,194,208,187,193,205,184,144,143,115,152,131,144,166
"Fahrrad","Nebenstrasse","Unfall mit leicht Verletzten","Beim Richtungswechsel (mit Abbiegen)",363,368,360,385,377,435,400,353,303,277,285,284,262,305,303,252,243,263,237,266,185,206,235,207,189
"Fahrrad","Nebenstrasse","Unfall mit leicht Verletzten","Beim Vorbeifahren, Fahrstreifenwechsel",33,43,29,54,23,51,22,50,34,18,23,26,23,20,29,29,15,16,35,19,21,25,29,48,29
"Fahrrad","Nebenstrasse","Unfall mit leicht Verletzten","Fussgängerunfall",45,50,59,66,61,99,59,58,73,58,61,72,66,67,56,55,72,64,30,72,68,63,75,76,63
"Fahrrad","Nebenstrasse","Unfall mit leicht Verletzten","Schleuder-, Selbstunfall",215,192,250,259,264,280,213,293,272,284,257,344,322,349,378,349,439,404,381,440,539,544,597,747,760
"Fahrrad","Nebenstrasse","Unfall mit leicht Verletzten","Tierunfall",9,7,7,12,4,13,8,11,14,10,11,12,17,12,11,11,9,8,7,12,18,7,9,9,6
"Fahrrad","Nebenstrasse","Unfall mit leicht Verletzten","Ueberholunfall",58,41,47,38,40,50,32,30,12,30,27,23,27,14,22,24,26,29,23,37,18,26,9,39,15
"Fahrrad","Nebenstrasse","Unfall mit schwer Verletzten","Auffahrunfall",23,18,18,18,19,17,23,16,29,17,20,13,19,21,17,24,14,21,19,18,32,12,22,20,19
"Fahrrad","Nebenstrasse","Unfall mit schwer Verletzten","Beim Kreuzen (in Längsrichtung)",69,57,55,64,69,40,55,91,61,64,54,53,45,37,53,51,48,37,37,50,28,23,41,21,29
"Fahrrad","Nebenstrasse","Unfall mit schwer Verletzten","Beim Queren (ohne Abbiegen)",118,111,118,86,85,113,98,78,78,75,72,63,66,59,65,51,54,59,45,40,54,46,52,39,43
"Fahrrad","Nebenstrasse","Unfall mit schwer Verletzten","Beim Richtungswechsel (mit Abbiegen)",151,133,154,160,156,166,131,124,159,121,90,91,100,89,75,64,100,89,75,69,57,64,103,49,63
"Fahrrad","Nebenstrasse","Unfall mit schwer Verletzten","Beim Vorbeifahren, Fahrstreifenwechsel",6,18,11,20,8,6,22,13,10,3,14,10,7,14,7,22,15,7,11,14,17,14,6,14,7
"Fahrrad","Nebenstrasse","Unfall mit schwer Verletzten","Fussgängerunfall",40,33,36,42,28,60,38,36,39,32,25,31,28,26,24,41,38,31,29,30,22,24,32,31,32
"Fahrrad","Nebenstrasse","Unfall mit schwer Verletzten","Schleuder-, Selbstunfall",154,172,172,179,206,207,208,186,199,218,167,241,247,229,244,240,243,263,248,293,358,349,410,378,395
"Fahrrad","Nebenstrasse","Unfall mit schwer Verletzten","Tierunfall",8,6,9,8,11,1,5,13,6,7,7,8,12,5,11,10,6,2,4,5,9,15,10,14,9
"Fahrrad","Nebenstrasse","Unfall mit schwer Verletzten","Ueberholunfall",14,16,16,19,20,9,10,9,13,15,11,15,6,8,14,10,22,5,12,11,20,7,8,5,8
"FussgängerIn","Autobahn","Unfall mit Getöteten","Auffahrunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit Getöteten","Beim Kreuzen (in Längsrichtung)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit Getöteten","Beim Queren (ohne Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit Getöteten","Beim Richtungswechsel (mit Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit Getöteten","Beim Vorbeifahren, Fahrstreifenwechsel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit Getöteten","Fussgängerunfall",4,6,3,4,5,3,2,3,5,1,5,4,2,2,3,1,2,6,7,5,5,2,2,2,2
"FussgängerIn","Autobahn","Unfall mit Getöteten","Schleuder-, Selbstunfall",0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit Getöteten","Tierunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit Getöteten","Ueberholunfall",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit leicht Verletzten","Auffahrunfall",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit leicht Verletzten","Beim Kreuzen (in Längsrichtung)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit leicht Verletzten","Beim Queren (ohne Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit leicht Verletzten","Beim Richtungswechsel (mit Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit leicht Verletzten","Beim Vorbeifahren, Fahrstreifenwechsel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit leicht Verletzten","Fussgängerunfall",0,2,1,2,3,3,4,0,1,2,0,2,2,8,3,1,1,1,2,1,2,0,3,0,0
"FussgängerIn","Autobahn","Unfall mit leicht Verletzten","Schleuder-, Selbstunfall",4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit leicht Verletzten","Tierunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit leicht Verletzten","Ueberholunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit schwer Verletzten","Auffahrunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit schwer Verletzten","Beim Kreuzen (in Längsrichtung)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit schwer Verletzten","Beim Queren (ohne Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit schwer Verletzten","Beim Richtungswechsel (mit Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit schwer Verletzten","Beim Vorbeifahren, Fahrstreifenwechsel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit schwer Verletzten","Fussgängerunfall",3,4,6,3,3,1,11,5,0,3,4,1,4,2,3,4,1,2,3,0,2,1,2,0,1
"FussgängerIn","Autobahn","Unfall mit schwer Verletzten","Schleuder-, Selbstunfall",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit schwer Verletzten","Tierunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autobahn","Unfall mit schwer Verletzten","Ueberholunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autostrasse","Unfall mit Getöteten","Auffahrunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autostrasse","Unfall mit Getöteten","Beim Kreuzen (in Längsrichtung)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autostrasse","Unfall mit Getöteten","Beim Queren (ohne Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autostrasse","Unfall mit Getöteten","Beim Richtungswechsel (mit Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autostrasse","Unfall mit Getöteten","Beim Vorbeifahren, Fahrstreifenwechsel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autostrasse","Unfall mit Getöteten","Fussgängerunfall",0,0,0,0,0,0,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"FussgängerIn","Autostrasse","Unfall mit Getöteten","Schleuder-, Selbstunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autostrasse","Unfall mit Getöteten","Tierunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autostrasse","Unfall mit Getöteten","Ueberholunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FussgängerIn","Autostrasse","Unfall mit leicht Verletzten","Auffahrunfall",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
